,RMSE,Model
0,4.192741122527692,ML1
1,3.7861282245160903,ML1
2,4.0721270436804895,ML1
3,3.421905342086082,ML1
4,4.051473917812051,ML1
5,4.467092411657765,ML1
6,3.847948009787714,ML1
7,4.280253761166421,ML1
8,3.7402990573150614,ML1
9,3.405913294677498,ML1
10,4.3063776674934795,ML1
11,3.461315360757133,ML1
12,4.195646030199868,ML1
13,4.378438726908956,ML1
14,3.462214259792693,ML1
15,3.5863135728752744,ML1
16,4.098315253222466,ML1
17,4.0346376261761865,ML1
18,4.106678558526977,ML1
19,3.8317737445318962,ML1
20,3.849104762940493,ML1
21,3.9038294919340766,ML1
22,3.756011849519982,ML1
23,4.1543382360099,ML1
24,3.7162302811886603,ML1
25,4.213011738561523,ML2
26,3.7486093619339247,ML2
27,3.934330613926768,ML2
28,3.291909912917024,ML2
29,4.108403462724722,ML2
30,4.261498946763395,ML2
31,3.713711750385931,ML2
32,4.218043248909761,ML2
33,3.634234344785403,ML2
34,3.398361894807965,ML2
35,3.744844806269327,ML2
36,3.544481818270812,ML2
37,4.080542177175804,ML2
38,4.059515956154605,ML2
39,3.50667316987152,ML2
40,3.425305227722952,ML2
41,3.894538986210787,ML2
42,4.000327198062628,ML2
43,3.970311395154567,ML2
44,3.6635798596522102,ML2
45,3.761909218081825,ML2
46,3.942444289244534,ML2
47,3.658370551788789,ML2
48,4.0386019404120015,ML2
49,3.5560592014918107,ML2
